TextileID,Time,Taskname,10M,1M,330k,100k,47k,10k,4.7k,1k,407,220,47,10,4.7,Newton,Weight
e4,48357,PressureDynamics,3796,3678,3330,2684,2266,865,482,119,59,31,9,2,1,0.774,-1
e4,48366,PressureDynamics,3784,3671,3333,2689,2271,865,480,120,59,31,9,1,1,0.763,-1
e4,48375,PressureDynamics,3779,3666,3333,2694,2275,875,484,121,60,31,9,2,1,0.772,-1
e4,48383,PressureDynamics,3778,3637,3314,2625,2160,813,451,112,56,29,8,2,1,0.783,-1
e4,48393,PressureDynamics,3777,3643,3321,2644,2220,855,480,120,60,31,9,2,1,0.778,-1
e4,48402,PressureDynamics,3783,3652,3323,2671,2251,867,485,122,61,32,10,3,1,0.775,-1
e4,48411,PressureDynamics,3781,3675,3323,2656,2227,844,467,117,59,30,9,2,1,0.794,-1
e4,48419,PressureDynamics,3825,3695,3403,2737,2333,889,498,125,62,32,9,2,1,0.792,-1
e4,48429,PressureDynamics,3892,3744,3445,2830,2401,941,533,136,68,35,10,2,1,0.797,-1
e4,48438,PressureDynamics,3887,3768,3494,2900,2475,993,564,144,72,37,11,2,2,0.802,-1
e4,48447,PressureDynamics,3889,3787,3508,2925,2505,1025,586,149,74,39,11,4,1,0.809,-1
e4,48457,PressureDynamics,3916,3795,3557,2978,2571,1066,610,156,78,40,12,2,2,0.805,-1
e4,48466,PressureDynamics,3920,3791,3542,2959,2566,1065,612,157,79,41,12,3,2,0.796,-1
e4,48475,PressureDynamics,3888,3770,3499,2912,2495,1017,584,149,74,39,11,2,1,0.794,-1
e4,48484,PressureDynamics,3860,3757,3467,2853,2412,968,542,137,68,35,11,2,2,0.793,-1
e4,48493,PressureDynamics,3840,3705,3392,2716,2322,881,488,122,60,31,9,2,1,0.787,-1
e4,48502,PressureDynamics,3783,3668,3307,2620,2174,790,432,108,53,28,8,2,1,0.773,-1
e4,48512,PressureDynamics,3764,3653,3270,2571,2125,739,395,98,49,26,7,1,1,0.773,-1
e4,48521,PressureDynamics,3756,3566,3190,2459,2011,688,382,94,47,24,7,1,1,0.774,-1
e4,48531,PressureDynamics,3734,3567,3176,2450,1998,679,376,93,47,24,7,1,1,0.769,-1
e4,48540,PressureDynamics,3768,3577,3219,2520,2069,723,396,98,49,25,8,1,1,0.773,-1
e4,48549,PressureDynamics,3755,3581,3215,2504,2102,734,397,99,50,25,7,2,1,0.774,-1
e4,48559,PressureDynamics,3765,3602,3231,2536,2124,745,402,100,50,26,8,1,1,0.77,-1
e4,48568,PressureDynamics,3767,3630,3250,2576,2140,758,412,102,51,27,7,1,1,0.77,-1
e4,48579,PressureDynamics,3779,3627,3301,2587,2147,770,421,105,52,26,8,2,1,0.772,-1
e4,48588,PressureDynamics,3770,3607,3274,2617,2161,787,434,108,52,27,8,1,1,0.773,-1
e4,48598,PressureDynamics,3755,3636,3298,2603,2164,795,436,110,54,28,8,1,1,0.772,-1
e4,48608,PressureDynamics,3773,3639,3272,2576,2133,766,417,105,52,27,8,1,1,0.771,-1
e4,48617,PressureDynamics,3752,3571,3210,2503,2091,723,403,99,50,27,8,1,1,0.771,-1
e4,48627,PressureDynamics,3758,3607,3215,2518,2090,739,407,102,51,27,8,1,1,0.77,-1
e4,48636,PressureDynamics,3759,3583,3204,2562,2142,767,423,106,52,27,8,1,1,0.771,-1
e4,48645,PressureDynamics,3752,3595,3236,2567,2157,790,435,109,54,28,8,1,1,0.771,-1
e4,48655,PressureDynamics,3778,3614,3262,2598,2161,807,448,111,55,28,9,1,1,0.774,-1
e4,48665,PressureDynamics,3779,3595,3255,2602,2188,803,443,110,55,29,9,2,1,0.769,-1
e4,48674,PressureDynamics,3773,3642,3304,2615,2188,808,455,112,56,29,8,1,1,0.772,-1
e4,48684,PressureDynamics,3775,3656,3292,2609,2188,811,449,111,55,29,8,1,1,0.773,-1
e4,48694,PressureDynamics,3774,3627,3263,2608,2167,818,453,112,56,28,8,2,1,0.772,-1
e4,48703,PressureDynamics,3764,3640,3298,2628,2205,828,458,114,56,29,8,2,1,0.771,-1
e4,48712,PressureDynamics,3767,3638,3302,2637,2211,839,461,113,56,29,8,2,1,0.768,-1
e4,48719,PressureDynamics,3782,3640,3297,2607,2203,817,451,112,55,29,9,1,1,0.774,-1
e4,48726,PressureDynamics,3776,3644,3282,2595,2190,814,451,112,54,29,8,2,1,0.775,-1
e4,48736,PressureDynamics,3767,3618,3286,2612,2174,801,443,109,54,28,8,1,1,0.773,-1
e4,48746,PressureDynamics,3780,3665,3314,2633,2215,820,455,112,56,28,9,1,1,0.772,-1
e4,48754,PressureDynamics,3768,3656,3303,2638,2229,834,458,114,57,29,8,2,1,0.772,-1
e4,48763,PressureDynamics,3770,3642,3319,2647,2223,841,460,114,57,29,9,2,1,0.773,-1
e4,48771,PressureDynamics,3774,3653,3310,2659,2228,846,465,116,58,29,9,1,1,0.776,-1
e4,48780,PressureDynamics,3782,3645,3301,2672,2262,852,470,116,58,30,9,2,1,0.769,-1
e4,48791,PressureDynamics,3780,3668,3327,2659,2244,848,465,115,57,30,8,1,1,0.769,-1
e4,48800,PressureDynamics,3779,3657,3322,2673,2248,850,467,115,57,30,9,2,1,0.766,-1
e4,48811,PressureDynamics,3787,3674,3319,2666,2238,845,466,116,57,30,9,2,2,0.772,-1
e4,48820,PressureDynamics,3783,3656,3317,2672,2262,843,468,115,58,30,9,2,1,0.77,-1
e4,48830,PressureDynamics,3780,3678,3327,2682,2267,857,472,117,59,30,9,1,1,0.77,-1
e4,48840,PressureDynamics,3774,3668,3311,2659,2253,845,468,115,57,29,9,2,1,0.77,-1
e4,48848,PressureDynamics,3789,3625,3311,2659,2244,848,468,116,57,30,9,2,1,0.773,-1
e4,48857,PressureDynamics,3785,3668,3322,2675,2251,850,465,115,58,30,8,1,1,0.772,-1
e4,48866,PressureDynamics,3773,3657,3325,2673,2241,853,469,117,58,30,8,1,1,0.773,-1
e4,48875,PressureDynamics,3787,3666,3331,2666,2246,855,474,117,58,30,9,2,1,0.774,-1
e4,48884,PressureDynamics,3809,3671,3328,2695,2263,853,468,116,58,30,9,2,1,0.77,-1
e4,48894,PressureDynamics,3792,3680,3372,2686,2262,858,474,118,58,30,9,1,1,0.771,-1
e4,48903,PressureDynamics,3793,3672,3333,2697,2282,868,478,119,59,31,9,2,1,0.772,-1
e4,48913,PressureDynamics,3795,3672,3367,2700,2296,875,483,120,60,31,9,2,1,0.77,-1
e4,48923,PressureDynamics,3747,3559,3172,2455,2066,713,384,95,48,25,7,1,1,0.77,-1
e4,48932,PressureDynamics,3846,3693,3399,2729,2324,871,478,119,59,31,9,1,1,0.794,-1
e4,48943,PressureDynamics,3915,3792,3553,3041,2650,1130,660,174,87,45,14,3,2,0.827,-1
e4,48954,PressureDynamics,3964,3905,3704,3270,2914,1415,872,245,124,64,18,4,3,0.939,-1
e4,48965,PressureDynamics,4014,3933,3805,3432,3134,1719,1108,334,173,91,27,6,4,1.061,-1
e4,48974,PressureDynamics,4033,3981,3850,3535,3255,1893,1264,404,211,113,34,8,5,1.357,-1
e4,48979,PressureDynamics,4034,3973,3855,3551,3274,1908,1277,408,213,114,35,8,5,1.393,-1
e4,48984,PressureDynamics,4027,3952,3836,3498,3200,1793,1158,352,181,97,29,7,5,1.197,-1
e4,48989,PressureDynamics,4018,3932,3800,3433,3128,1662,1050,307,158,83,25,5,3,1.019,-1
e4,48994,PressureDynamics,3998,3925,3786,3392,3058,1564,968,276,139,73,22,4,3,0.945,-1
e4,49000,PressureDynamics,3994,3910,3749,3332,2991,1479,900,252,127,66,20,4,3,0.899,-1
e4,49008,PressureDynamics,4003,3920,3776,3374,3030,1528,936,264,134,69,21,5,3,0.905,-1
e4,49018,PressureDynamics,4001,3922,3777,3389,3041,1553,962,271,138,73,21,4,3,0.892,-1
e4,49028,PressureDynamics,4008,3924,3787,3400,3074,1592,992,284,144,75,22,5,3,0.931,-1
e4,49038,PressureDynamics,4005,3927,3794,3422,3112,1633,1027,298,153,80,24,5,3,0.975,-1
e4,49048,PressureDynamics,4020,3937,3814,3456,3153,1717,1097,326,167,89,27,6,4,1.025,-1
e4,49058,PressureDynamics,4025,3955,3831,3498,3196,1778,1150,349,180,95,29,6,5,1.079,-1
e4,49067,PressureDynamics,4030,3959,3843,3507,3215,1809,1178,361,187,99,29,7,4,1.103,-1
e4,49077,PressureDynamics,4032,3949,3834,3505,3198,1787,1156,350,180,95,29,7,6,1.036,-1
e4,49087,PressureDynamics,4022,3936,3816,3450,3140,1692,1086,320,164,86,25,6,4,0.999,-1
e4,49096,PressureDynamics,4005,3923,3759,3373,3043,1570,985,282,142,75,22,5,3,0.987,-1
e4,49107,PressureDynamics,3999,3918,3779,3380,3035,1563,976,281,142,74,22,5,2,1.0,-1
