LineID,	 Timestamp,		 ParticipantID,	 Repetition,	 Condition,	 PulseWidth,	 Frequency,	 Intensity,	 Granularity

0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
0,	 15:32 1/8/2019,	 0,		 0,		 0,		 0,		 false,		 
